Company_Name,delivery_volumens,2021-11-12,2021-11-15,2021-11-16,2021-11-17
3M India,44,44,81,134,57
AAVAS Financier,266,266,3518,1154,183
AB Capital,100870,100870,62100,28846,146939
ABB India,2191,2191,9182,57213,6677
ABB Power Produ,1182,1182,1276,6602,5200
ACC,7846,7846,4379,7002,2715
AIA Engineering,655,655,116,712,168
APL Apollo,17662,17662,33133,4352,15330
AU Small Financ,6789,6789,7860,2954,9258
Aarti Drugs,8540,8540,13963,18002,14371
Aarti Ind,46320,46320,18732,12499,28746
Abbott India,169,169,448,120,284
Adani Enterpris,24917,24917,29698,27706,41918
Adani Green Ene,4840,4840,36095,13750,5477
Adani Ports,17792,17792,147195,20824,16908
Adani Power,395053,395053,228006,405510,376138
Adani Total Gas,30232,30232,8834,5259,4099
Adani Trans,6706,6706,19822,9623,2221
Aditya Birla F,26488,26488,21103,67180,34771
Advanced Enzyme,6953,6953,3075,8413,5235
Aegis Logistics,47443,47443,41381,46176,33627
Affle India,19411,19411,57280,24601,37042
Ajanta Pharma,662,662,940,166,559
Akzo Nobel,206,206,390,215,600
Alembic Pharma,113226,113226,52422,15146,25999
Alkem Lab,233,233,1417,3889,1614
Alkyl Amines,7537,7537,4458,1419,9501
Allcargo,29925,29925,11681,33139,22423
Alok Industries,957272,957272,767106,446387,520785
Amara Raja Batt,27779,27779,33453,47250,75559
Amber Enterpris,1030,1030,472,1694,443
Ambuja Cements,28472,28472,49520,49203,26102
Apollo Hospital,16683,16683,2710,17651,5972
Apollo Tyres,105264,105264,37879,71751,37080
Ashok Leyland,104812,104812,188564,313469,603387
Ashoka Buildcon,43864,43864,15572,86517,63874
Asian Paints,30112,30112,22380,34165,6537
Aster DM Health,14488,14488,10358,12733,27368
AstraZeneca,108,108,252,1452,895
Astral Ltd,14437,14437,5967,5101,3322
Atul,267,267,1179,1692,274
Aurobindo Pharm,29818,29818,7120,46557,33497
Avanti Feeds,3797,3797,21282,9724,9491
Avenue Supermar,40977,40977,33495,4353,9175
Axis Bank,39091,39091,74421,80835,279924
BASF,1634,1634,1183,5998,1015
BEML,2354,2354,3007,2481,3220
BHEL,1284119,1284119,1039711,755445,723810
BPCL,87604,87604,25589,30208,37211
Bajaj Auto,1650,1650,16557,12328,7072
Bajaj Consumer,39479,39479,79861,75533,42866
Bajaj Electric,6539,6539,3561,20769,2748
Bajaj Finance,8583,8583,3258,4508,14807
Bajaj Finserv,1828,1828,4613,1455,3255
Bajaj Holdings,773,773,750,1039,668
Balaji Amines,7991,7991,6770,17389,23666
Balkrishna Ind,6220,6220,3651,6814,17811
Balmer Lawrie,22380,22380,13086,14854,6314
Balrampur Chini,26106,26106,37328,8974,29870
Bandhan Bank,93354,93354,24853,29767,60228
Bank of Baroda,530803,530803,542596,408360,878168
Bank of India,285589,285589,176947,162893,223378
Bank of Mah,255346,255346,198912,320525,247943
Bata India,4011,4011,41198,35199,13630
Bayer CropScien,521,521,814,1422,637
Berger Paints,9825,9825,46715,8686,19128
Bharat Dynamics,25341,25341,12516,3510,4860
Bharat Elec,84903,84903,71274,46936,42404
Bharat Forge,27931,27931,35736,13972,43268
Bharti Airtel,109113,109113,173563,23934,71359
Biocon,10287,10287,31931,727541,303463
Birla Corp,15010,15010,6367,12223,4956
Birlasoft,48538,48538,60848,15363,75875
Bliss GVS,29003,29003,9157,25362,11774
Blue Dart,294,294,412,340,226
Blue Star,9476,9476,1470,2561,2570
Bombay Burmah,1980,1980,388,2330,890
Bosch,1006,1006,1188,736,1421
Brigade Ent,2984,2984,14800,18276,3729
Britannia,10257,10257,6961,51384,2356
Burger King,51746,51746,158195,39474,93647
CAMS,2480,2480,22690,4930,9620
CCL Products,8127,8127,6739,9096,35403
CESC,222162,222162,71904,34479,41262
CG Consumer,15346,15346,23289,27412,7595
COFORGE LTD.,3251,3251,5418,7169,6143
CRISIL,12676,12676,4984,10736,2288
CSB Bank,3577,3577,5664,6714,14120
Cadila Health,35394,35394,39544,13028,27464
Can Fin Homes,7370,7370,4895,25777,10229
Canara Bank,133505,133505,234926,68333,104893
Caplin Labs,1039,1039,1391,2596,5967
Capri Global,4142,4142,1217,165,1279
Carborundum,5451,5451,3548,3591,3827
Castrol,16605,16605,13131,27001,24822
Ceat,1105,1105,2547,4323,826
Central Bank,214057,214057,164608,302796,205501
Century,2655,2655,3252,2979,5136
CenturyPlyboard,3569,3569,11132,8561,5477
Cera Sanitary,60,60,95,239,191
Chalet Hotels,15392,15392,68692,27337,47958
Chambal Fert,7800,7800,20254,15105,127710
Chola Fin Hold,537,537,1297,3156,780
Chola Invest.,7238,7238,12038,22353,3830
Cipla,8732,8732,28987,24808,17041
City Union Bank,13630,13630,25919,21128,14276
Coal India,65499,65499,158360,553962,217292
Cochin Shipyard,21919,21919,24593,5516,4796
Colgate,3358,3358,4998,9035,10335
Container Corp,10245,10245,12686,11342,9413
Coromandel Int,4220,4220,3885,6145,4943
CreditAccess Gr,3592,3592,1738,1947,1277
Cummins,2869,2869,10819,7721,5748
Cyient,5742,5742,3446,8014,18683
DCB Bank,78020,78020,16923,13361,15002
DCM Shriram,1148,1148,4255,3167,1315
DLF,163097,163097,106755,26939,20776
Dabur India,101916,101916,21154,10024,7076
Dalmia Bharat,53336,53336,112110,4916,1164
Deepak Fert,18093,18093,29290,20903,23411
Deepak Nitrite,32668,32668,67330,56062,55963
Delta Corp,187188,187188,119184,51001,55150
Dhanuka Agritec,1697,1697,578,2046,1344
Dilip Buildcon,4136,4136,18078,35077,8815
Dishman Carboge,14162,14162,9469,18888,47163
Divis Labs,6171,6171,1526,1847,8147
Dixon Technolog,8042,8042,6399,5537,12926
Dr Lal PathLab,939,939,661,2259,863
Dr Reddys Labs,911,911,2639,1642,4149
EID Parry,15538,15538,9931,4389,9427
EIH,6433,6433,12951,41022,5294
EPL,5643,5643,13037,7897,11217
Edelweiss,73621,73621,15355,50224,40248
Eicher Motors,2675,2675,9600,8033,13484
Emami,40176,40176,3811,12884,8481
Endurance Techn,1043,1043,3469,1215,4342
EngineersInd,63536,63536,115546,118878,51340
Equitas Bank,21343,21343,69983,19184,16800
Equitas Holding,9523,9523,15737,55494,20085
Eris Life,1528,1528,3549,1323,3379
Esab India,1606,1606,203,470,639
Escorts,30396,30396,22486,20439,39638
Exide Ind,97734,97734,18203,107728,34006
FDC,7155,7155,34322,8538,6493
Federal Bank,366769,366769,315607,166092,335139
Fine Organics,249,249,1080,3818,4879
Finolex Cables,28489,28489,5440,40396,30005
Finolex Ind,25214,25214,13132,32059,14767
Firstsource Sol,130908,130908,148928,1512956,185119
Force Motors,12897,12897,3998,4266,7246
Fortis Health,2025892,2025892,47803,123667,92588
Future Retail,213187,213187,131285,237962,219694
GAIL,181295,181295,142398,117522,132328
GE Power India,5225,5225,7951,6833,6940
GE Shipping,3298,3298,3012,4598,3400
GMM Pfaudler,1399,1399,629,538,537
GMR Infra,677323,677323,380033,402339,212619
GNFC,10844,10844,19066,19013,22870
GSFC,28669,28669,26161,123271,54274
Galaxy Surfacta,1412,1412,3415,1866,604
Garden Reach Sh,92611,92611,51240,12208,16886
Garware Technic,648,648,774,925,918
Gateway Distri,13791,13791,1941,5634,9975
General Insuran,168551,168551,18102,8541,33215
Gillette India,400,400,137,367,432
Gland,1292,1292,3469,7350,3107
GlaxoSmithKline,2659,2659,1646,5101,1243
Glenmark,14402,14402,42873,23754,36912
Godfrey Phillip,1331,1331,516,880,408
Godrej Agrovet,2615,2615,1593,3447,14424
Godrej Consumer,16960,16960,28931,4370,4625
Godrej Ind,4831,4831,5612,19265,2043
Godrej Prop,8444,8444,17432,9960,8729
Granules India,39371,39371,26756,218810,25991
Graphite India,18773,18773,8995,9662,23793
Grasim,3248,3248,97719,4527,6092
Greaves Cotton,52222,52222,17130,38321,427065
Grindwell Norto,3146,3146,1788,4318,8306
Guj Alkali,17385,17385,12139,10102,5918
Guj Heavy Chem,5006,5006,5999,6308,4353
Guj Mineral,37648,37648,21700,13330,27147
Guj State Petro,9384,9384,16204,6036,5371
Gujarat Fluoro,37551,37551,10707,3421,2928
Gujarat Gas,40480,40480,30418,16794,43837
Gujarat Pipavav,18501,18501,11263,26731,28610
Gulf Oil Lubric,1764,1764,2331,2221,1501
HCL Tech,43274,43274,129852,49609,81306
HDFC,31166,31166,40088,46956,21689
HDFC AMC,8905,8905,7819,1838,32591
HDFC Bank,1039134,1039134,61112,80831,29882
HDFC Life,11957,11957,76954,15489,37632
HEG,8180,8180,7879,5994,3254
HFCL,216644,216644,288971,121948,250796
HPCL,36783,36783,23155,49788,28252
HUDCO,36838,36838,239310,186274,128499
HUL,44793,44793,43295,44822,10719
Happiest Minds,27059,27059,11033,27546,25266
Hathway Cable,295545,295545,196368,291154,273812
Havells India,35918,35918,21754,6775,2551
Hawkins Cooker,2110,2110,2573,1506,1144
Heidelberg Cem,5441,5441,3148,3473,1291
Hero Motocorp,6247,6247,9932,22761,28727
Himadri Special,168313,168313,131388,422536,192769
Hind Copper,94433,94433,50918,128025,42216
Hind Zinc,41318,41318,64593,23383,17668
Hindalco,143797,143797,184696,137861,107180
Hindustan Aeron,136266,136266,8388,86621,54631
Honeywell Autom,97,97,159,98,118
ICICI Bank,122770,122770,140500,146799,259844
ICICI Lombard,1296,1296,1020,4048,5173
ICICI Prudentia,6767,6767,76658,20150,6411
ICICI Securitie,7084,7084,5525,12620,2315
IDBI Bank,482960,482960,278046,295391,318716
IDFC,176420,176420,672692,546440,163686
IDFC First Bank,597854,597854,922568,694006,325962
IEX,155626,155626,76572,89827,189697
IFB Industries,1579,1579,493,1048,1136
IGL,62099,62099,65175,139220,10979
IIFL Finance,17432,17432,12857,13275,19738
INDUS TOWERS,15323,15323,17212,28415,13995
INOX Leisure,6462,6462,33577,3549,5823
IOB,83274,83274,218703,215635,176058
IOC,981263,981263,350504,239356,74937
IOL Chemicals,6727,6727,9451,37595,26298
IRB Infra,165640,165640,87732,66178,37978
IRCTC,74701,74701,121584,258571,528552
ITC,263526,263526,167608,1309094,406961
ITI,11465,11465,26690,17785,11506
IWML,137,137,733,824,562
India Cements,157336,157336,64815,19343,64701
India Tourism D,8609,8609,4115,1317,1483
Indiabulls Hsg,252536,252536,321901,1437746,192937
Indiabulls Real,541305,541305,378961,618203,263491
Indiamart Inter,3553,3553,3165,5073,4464
Indian Bank,51913,51913,47761,94247,69473
Indian Hotels,197344,197344,170807,300627,124276
Indoco Remedies,7009,7009,13123,12915,6989
Indostar Capita,6429,6429,10810,2540,3533
IndusInd Bank,171381,171381,19380,14591,27335
Infibeam Avenue,189613,189613,76139,100688,41198
Info Edge,2878,2878,13652,11896,9354
Infosys,19745,19745,85136,245278,53998
Intellect Desig,18063,18063,15636,33909,7542
Interglobe Avi,32992,32992,4255270,7966,11735
Ipca Labs,2076,2076,7239,6126,4425
Ircon Internati,109041,109041,152951,148697,180011
J. K. Cement,1551,1551,923,4159,2387
JB Chemicals,3185,3185,2090,4451,1656
JK Bank,373207,373207,220872,232149,126787
JK Lakshmi Cem,8247,8247,8123,11754,9291
JK Paper,34555,34555,19056,26025,27484
JK Tyre & Ind,19599,19599,31684,96808,44968
JM Financial,21019,21019,82510,9943,54678
JSW Energy,78245,78245,63537,58166,15103
JSW Steel,13275,13275,13629,17833,53011
JTEKT India,18767,18767,11304,30991,27162
Jai Corp,16728,16728,14676,13212,15585
Jamna Auto,89307,89307,74345,12239,39981
Jindal (Hisar),5764,5764,43036,10361,17001
Jindal Saw,75680,75680,17899,54514,52852
Jindal Stainles,55680,55680,26729,41127,36578
Jindal Steel,122691,122691,35115,59282,62770
Johnson Control,822,822,28546,267,384
Jubilant Food,1041,1041,3928,9736,10031
Just Dial,12060,12060,17513,8652,3153
Jyothy Labs,4516,4516,10965,13559,4152
KEC Intl,3047,3047,5698,6279,7479
KEI Industries,2684,2684,9687,5759,8574
KNR Construct,4660,4660,71036,34414,18315
KPIT Tech,172125,172125,136461,35476,44532
KPR Mill,22684,22684,6051,6397,14956
KRBL,34379,34379,34880,20710,15209
KSB Pumps,1548,1548,1716,768,1893
Kajaria Ceramic,4135,4135,6266,13910,2719
Kalpataru Power,2105,2105,2366,6644,4984
Kansai Nerolac,6755,6755,12474,34204,5825
Karnataka Bank,267221,267221,106187,203589,57818
Kaveri Seed,2072,2072,3747,12886,5311
Kotak Mahindra,10771,10771,10235,23666,41040
L&T Finance,154129,154129,140607,207048,149263
L&T Infotech,4833,4833,6994,8322,8033
L&T Technology,6362,6362,5864,5929,2691
LIC Housing Fin,13214,13214,42585,36022,25240
La Opala RG,4826,4826,2185,1904,5884
Lakshmi Machine,975,975,1429,720,182
Larsen,53538,53538,101939,175897,93531
Laurus Labs,91483,91483,226409,263302,116538
Lemon Tree Hote,143956,143956,46882,401109,321390
Linde India,2160,2160,1789,3163,1879
Lupin,3802,3802,27391,13322,20347
Lux Industries,2496,2496,2478,1564,1219
M&M,75139,75139,372054,40988,422669
M&M Financial,39196,39196,22444,197152,78326
MAS Financial S,1503,1503,3565,861,1191
MCX India,19410,19410,3795,7638,11045
MMTC Ltd,51885,51885,77101,66158,52443
MOIL,48606,48606,46296,15808,41251
MRF,472,472,96,385,73
MRPL,39414,39414,23696,38485,45451
Mah Scooters,236,236,444,234,387
Mah Seamless,4702,4702,14211,33502,12433
Mahanagar Gas,6913,6913,6927,12902,5702
Mahindra CIE,4809,4809,13119,7918,41290
Mahindra Holida,65638,65638,35373,16186,21685
Mahindra Life,1091,1091,2545,5157,9375
Mahindra Logist,1820,1820,6688,1154,6201
Manappuram Fin,89640,89640,20972,218734,253738
Marico,87243,87243,15538,47393,46082
Maruti Suzuki,16842,16842,8843,10018,46555
Max Financial,5677,5677,1556,1371,17738
Max Healthcare,13728,13728,17470,189899,63527
Mazagon Dock,20365,20365,23208,12515,7379
Metropolis,12118,12118,986,12645,434582
Minda Corp,14952,14952,18450,33333,58656
Minda Ind,8338,8338,40498,9693,6292
Mindtree,17330,17330,26787,4185,7848
Mishra Dhatu Ni,22927,22927,18512,5451,8643
Motherson Sumi,101233,101233,172858,245519,274689
Motilal Oswal,10030,10030,4063,15758,1943
MphasiS,5650,5650,8512,4186,4117
Muthoot Finance,25106,25106,3003,4971,7801
NALCO,410653,410653,1033419,445261,660746
NBCC (India),189960,189960,285988,72337,297167
NCC,92080,92080,167283,511423,105047
NESCO,759,759,4993,4463,571
NHPC,194551,194551,358065,145352,1027556
NLC India,124597,124597,395432,259100,155793
NMDC,224030,224030,286405,153447,292075
NOCIL,20697,20697,40435,29312,22467
NTPC,137826,137826,1093168,63448,80290
Narayana Hruda,19429,19429,5166,11460,13383
Natco Pharma,9386,9386,4812,5878,1321
Navin Fluorine,2017,2017,1649,3762,946
Navneet,24268,24268,24033,11585,3880
Nestle,604,604,1070,2499,441
Network 18,42646,42646,109267,164003,104912
New India Assur,36672,36672,20095,12907,10947
Nilkamal,289,289,321,384,343
Nippon,7624,7624,4199,13649,14704
ONGC,70229,70229,177628,815263,303808
Oberoi Realty,20941,20941,14184,3888,15955
Oil India,32473,32473,36755,34419,28219
Oracle Fin Serv,420,420,1566,1578,1669
Orient Cement,32624,32624,44084,49242,16975
Orient Electric,12052,12052,4347,32205,4368
P and G,625,625,431,126,233
PI Industries,4226,4226,5726,25778,1901
PNB,981065,981065,1015327,680663,1171370
PNB Housing Fin,11178,11178,2856,2516,2138
PNC Infratech,4937,4937,3728,13627,30781
PTC India,23572,23572,114505,25057,41734
PVR,6209,6209,9739,11504,5264
Page Industries,195,195,112,144,158
Persistent,3679,3679,3998,7517,2331
Petronet LNG,39612,39612,54317,61552,58559
Pfizer,375,375,1084,273,907
Phillips Carbon,24720,24720,19832,11477,19608
Phoenix Mills,6126,6126,3102,1743,8453
Pidilite Ind,9087,9087,7633,4187,4235
Piramal Enter,5064,5064,10310,4028,3992
Poly Medicure,3435,3435,2381,331,9154
Polycab,29424,29424,3062,7944,1662
Power Finance,102429,102429,70454,36249,84769
Power Grid Corp,109577,109577,75739,320349,251869
Prestige Estate,8770,8770,63200,9909,17132
Prism Johnson,18533,18533,23244,7449,19806
Procter&Gamble,758,758,959,801,560
Quess Corp,3312,3312,4127,2066,3109
RBL Bank,186756,186756,102300,59436,124460
REC,65385,65385,108162,138588,126678
RHI Magnesita,3078,3078,4069,13577,2114
RITES,8286,8286,24890,10719,2484
Radico Khaitan,8209,8209,3178,15376,9352
Rail Vikas,486913,486913,809032,179049,424314
Rain Industries,12277,12277,71775,200901,27182
Rajesh Exports,6269,6269,2313,30766,67186
Rallis India,8647,8647,7276,22679,24363
Ramco Cements,5747,5747,3060,4789,6649
Rashtriya Chem,81995,81995,52326,39670,34954
Ratnamani Metal,154,154,81817,403,61042
Raymond,8516,8516,18410,9516,20685
Redington,117411,117411,90461,168734,1745249
Relaxo Footwear,9102,9102,6113,3170,4251
Reliance,195851,195851,167168,59444,116041
Responsive Ind,439,439,831,930,489
Rossari,663,663,1192,834,642
Route,2365,2365,4731,5867,2398
S H Kelkar,84769,84769,55657,54315,75351
SAIL,817344,817344,331849,910584,559475
SBI,276141,276141,163077,168332,516053
SBI Card,20271,20271,6773,23056,21179
SBI Life Insura,15533,15533,11861,6087,8858
SIS,4469,4469,11107,7719,13112
SJVN,196534,196534,250409,315851,184310
SKF India,532,532,410,1237,944
SOLARA ACTIVE P,6146,6146,22178,10413,56289
SRF,6211,6211,20091,7303,10720
SUMITOMO,12465,12465,10588,13136,23612
Sanofi India,137,137,908,412,102
Schaeffler Ind,222,222,475,493,129
Schneider Infra,22770,22770,32641,20119,43886
Sequent Scienti,61438,61438,51754,42385,36191
Sheela Foam,201,201,3415,3786,1248
Shilpa,4911,4911,3678,8336,2845
Shipping Corp,55758,55758,46993,16855,36322
Shoppers Stop,9494,9494,3114,3269,15272
Shree Cements,140,140,370,76,448
Shriram City,1181,1181,265,1055,239
Shriram Trans,26450,26450,10532,9882,12645
Siemens,10366,10366,4030,3816,128248
Sobha,4542,4542,5631,3316,8490
Solar Ind,5047,5047,1863,3753,936
Sonata,7781,7781,1318,1222,6936
Spandana Sphoor,1777,1777,1752,2224,5650
SpiceJet,35978,35978,299875,127581,1654937
Star Cement,14025,14025,10132,7089,12655
Sterling & Wils,9786,9786,12829,30660,50519
Sterlite Techno,8558,8558,10469,27041,134312
Strides Pharma,46339,46339,63215,24420,7026
Sudarshan Chem,1543,1543,4751,4319,3729
Sun Pharma,14286,14286,38997,20815,104806
Sun Pharma Adv,10401,10401,6874,7987,15205
Sun TV Network,30496,30496,11587,15640,18481
Sundram,3988,3988,2947,2026,1959
Sunteck Realty,16008,16008,6513,4385,19797
Supreme Ind,6261,6261,3630,3065,2803
Suven Pharma,3186,3186,3570,2328,3450
Swan Energy,964,964,8126,9538,5843
Symphony,1357,1357,1058,388,1748
Syngene Intl,6878,6878,11285,92589,35503
TATA Cons. Prod,168572,168572,69465,18860,16881
TCI Express,1323,1323,1205,2277,2524
TCNS Clothing C,4133,4133,1209,820,6238
TCS,51539,51539,114485,36194,51149
TML-D,257553,257553,218110,92607,125179
TTK Prestige,264,264,241,244,480
TV18 Broadcast,262843,262843,225886,273463,313427
TVS Motor,24511,24511,42919,49251,242129
Tanla Platforms,20959,20959,44455,42843,32044
Tasty Bite,21,21,73,654,472
Tata Chemicals,34438,34438,11277,7098,28430
Tata Coffee,62568,62568,19306,142337,128589
Tata Comm,6506,6506,6604,8018,6691
Tata Elxsi,6848,6848,6150,3176,3842
Tata Inv Corp,5157,5157,1483,2354,1784
Tata Metaliks,3487,3487,4011,5223,4211
Tata Motors,464159,464159,139437,211528,506682
Tata Power,1450433,1450433,1094534,1892113,2287500
Tata Steel,152776,152776,252307,175003,115871
TeamLease Ser.,461,461,277,2808,274
Tech Mahindra,17581,17581,79490,57751,35372
Thermax,23668,23668,11778,5825,20682
Thyrocare Techn,5088,5088,607,13732,7738
Timken,5420,5420,8269,853,385
Titan Company,17297,17297,10826,6824,18478
Torrent Pharma,13702,13702,8410,1039,1649
Torrent Power,3089,3089,10188,17740,14373
Trent,7366,7366,13054,7794,7158
Trident,1369360,1369360,1101760,1621668,4995096
Triveni Turbine,93397,93397,17636,55348,12175
Tube Investment,6637,6637,5053,5723,1369
UPL,61102,61102,10977,167022,16525
UTI AMC,1314,1314,1815,2720,4869
Uflex,3988,3988,16580,11621,6167
Ujjivan Financi,14519,14519,14013,146987,103438
Ujjivan Small,226633,226633,139775,2373,1405
UltraTechCement,837,837,851,506335,698267
Union Bank,702139,702139,468566,1722,5189
United Brewerie,3221,3221,2677,106366,269598
V-Guard Ind,10153,10153,13969,196,194
V-Mart Retail,681,681,363,9114,18909
VIP Industries,4584,4584,7914,4165,3750
VRL Logistics,30370,30370,6979,363,362
VST,87,87,304,17730,4708
Vaibhav Global,16432,16432,2261,264540,72275
Vakrangee,129035,129035,55375,1304,4919
Vardhman Text,4953,4953,3262,9713,10068
Varroc Engineer,4945,4945,21877,18853,8560
Varun Beverages,4628,4628,10464,515660,474445
Vedanta,886416,886416,657073,1504,1605
Venkys,739,739,1530,3856,611
Vinati Organics,1533,1533,2858,2456,6002
Voltas,2806,2806,8997,123,112
WABCO India,92,92,82,29596,110732
Welspun Corp,145380,145380,91988,57252,41959
Welspun India,15935,15935,39618,2436,3434
Westlife Dev,2338,2338,1317,4966,2034
Whirlpool,1935,1935,6679,204374,417609
Wipro,456807,456807,376111,14213,11189
Wockhardt,8996,8996,13704,133990,156321
Zee Entertain,126190,126190,66446,21632,37465
Zensar Tech,12786,12786,15953,1201,176
Zydus Wellness,285,285,518,6506,4490
